"day","insecticide_name","treatment","UA","UD","FA","FD","wash_status","fed","dead","total"
70,"OlysetPlus","2",3,0,0,0,"20x",0,0,3
71,"OlysetPlus","2",0,0,1,0,"20x",1,0,1
72,"OlysetPlus","2",11,0,1,0,"20x",1,0,12
73,"OlysetPlus","2",1,0,0,0,"20x",0,0,1
74,"OlysetPlus","2",1,0,4,0,"20x",4,0,5
75,"OlysetPlus","2",1,1,0,0,"20x",0,1,2
76,"OlysetPlus","2",4,0,0,0,"20x",0,0,4
77,"OlysetPlus","2",2,0,0,1,"20x",1,1,3
78,"OlysetPlus","2",3,0,0,2,"20x",2,2,5
79,"OlysetPlus","2",1,0,0,0,"20x",0,0,1
80,"OlysetPlus","2",2,0,0,0,"20x",0,0,2
81,"OlysetPlus","2",2,1,1,0,"20x",1,1,4
82,"OlysetPlus","2",4,5,3,5,"20x",8,10,17
83,"OlysetPlus","2",9,0,5,0,"20x",5,0,14
84,"OlysetPlus","2",6,1,0,0,"20x",0,1,7
85,"OlysetPlus","2",0,2,2,0,"20x",2,2,4
86,"OlysetPlus","2",0,0,0,0,"20x",0,0,0
87,"OlysetPlus","2",4,7,1,0,"20x",1,7,12
88,"OlysetPlus","2",18,1,0,0,"20x",0,1,19
89,"OlysetPlus","2",10,2,1,0,"20x",1,2,13
90,"OlysetPlus","2",9,1,2,1,"20x",3,2,13
91,"OlysetPlus","2",15,5,0,0,"20x",0,5,20
92,"OlysetPlus","2",8,0,3,1,"20x",4,1,12
93,"OlysetPlus","2",11,0,0,1,"20x",1,1,12
94,"OlysetPlus","2",7,1,0,0,"20x",0,1,8
95,"OlysetPlus","2",10,1,0,0,"20x",0,1,11
96,"OlysetPlus","2",4,1,3,0,"20x",3,1,8
97,"OlysetPlus","2",12,3,0,0,"20x",0,3,15
98,"OlysetPlus","2",5,1,0,0,"20x",0,1,6
99,"OlysetPlus","2",5,0,0,0,"20x",0,0,5
100,"OlysetPlus","2",3,0,0,0,"20x",0,0,3
101,"OlysetPlus","2",7,0,0,0,"20x",0,0,7
102,"OlysetPlus","2",3,1,0,0,"20x",0,1,4
103,"OlysetPlus","2",7,3,4,0,"20x",4,3,14
104,"OlysetPlus","2",1,4,0,0,"20x",0,4,5
105,"OlysetPlus","2",7,1,0,2,"20x",2,3,10
106,"OlysetPlus","2",11,3,0,0,"20x",0,3,14
107,"OlysetPlus","2",7,3,0,0,"20x",0,3,10
108,"OlysetPlus","2",8,3,2,0,"20x",2,3,13
1,"IG2","3",1,1,0,2,"20x",2,3,4
2,"IG2","3",0,0,1,1,"20x",2,1,2
3,"IG2","3",4,3,0,1,"20x",1,4,8
4,"IG2","3",0,5,2,0,"20x",2,5,7
5,"IG2","3",1,0,0,1,"20x",1,1,2
6,"IG2","3",0,2,0,0,"20x",0,2,2
7,"IG2","3",0,4,0,1,"20x",1,5,5
8,"IG2","3",0,10,0,1,"20x",1,11,11
9,"IG2","3",2,0,0,0,"20x",0,0,2
10,"IG2","3",0,0,0,0,"20x",0,0,0
11,"IG2","3",0,0,0,0,"20x",0,0,0
12,"IG2","3",0,0,0,0,"20x",0,0,0
13,"IG2","3",0,1,0,0,"20x",0,1,1
14,"IG2","3",4,1,0,0,"20x",0,1,5
15,"IG2","3",0,4,2,0,"20x",2,4,6
16,"IG2","3",1,0,0,0,"20x",0,0,1
17,"IG2","3",1,6,0,0,"20x",0,6,7
18,"IG2","3",0,0,0,0,"20x",0,0,0
19,"IG2","3",0,3,2,1,"20x",3,4,6
20,"IG2","3",1,0,0,1,"20x",1,1,2
21,"IG2","3",0,2,0,5,"20x",5,7,7
22,"IG2","3",2,3,1,1,"20x",2,4,7
23,"IG2","3",2,1,0,11,"20x",11,12,14
24,"IG2","3",0,1,0,1,"20x",1,2,2
25,"IG2","3",0,13,0,0,"20x",0,13,13
26,"IG2","3",0,0,0,0,"20x",0,0,0
27,"IG2","3",1,2,0,1,"20x",1,3,4
28,"IG2","3",3,5,3,5,"20x",8,10,16
29,"IG2","3",0,4,0,0,"20x",0,4,4
30,"IG2","3",2,1,3,0,"20x",3,1,6
31,"IG2","3",0,3,0,1,"20x",1,4,4
32,"IG2","3",2,8,0,0,"20x",0,8,10
33,"IG2","3",0,4,0,0,"20x",0,4,4
34,"IG2","3",2,11,2,2,"20x",4,13,17
35,"IG2","3",2,13,4,2,"20x",6,15,21
36,"IG2","3",0,12,0,1,"20x",1,13,13
37,"IG2","3",1,19,1,1,"20x",2,20,22
38,"IG2","3",0,5,2,1,"20x",3,6,8
39,"IG2","3",0,3,0,0,"20x",0,3,3
40,"IG2","3",2,0,0,0,"20x",0,0,2
41,"IG2","3",3,1,3,1,"20x",4,2,8
42,"IG2","3",0,4,0,0,"20x",0,4,4
43,"IG2","3",2,1,0,1,"20x",1,2,4
44,"IG2","3",1,5,0,0,"20x",0,5,6
45,"IG2","3",0,7,2,4,"20x",6,11,13
46,"IG2","3",1,4,1,1,"20x",2,5,7
47,"IG2","3",2,4,0,0,"20x",0,4,6
48,"IG2","3",1,10,6,0,"20x",6,10,17
49,"IG2","3",4,10,1,3,"20x",4,13,18
50,"IG2","3",1,14,0,0,"20x",0,14,15
51,"IG2","3",0,10,5,1,"20x",6,11,16
52,"IG2","3",0,9,1,0,"20x",1,9,10
53,"IG2","3",3,6,2,0,"20x",2,6,11
54,"IG2","3",4,0,0,1,"20x",1,1,5
55,"IG2","3",1,16,3,4,"20x",7,20,24
56,"IG2","3",1,18,1,7,"20x",8,25,27
57,"IG2","3",3,22,3,6,"20x",9,28,34
58,"IG2","3",2,11,1,1,"20x",2,12,15
59,"IG2","3",6,21,1,0,"20x",1,21,28
60,"IG2","3",2,13,0,0,"20x",0,13,15
61,"IG2","3",3,8,2,4,"20x",6,12,17
62,"IG2","3",2,23,0,2,"20x",2,25,27
63,"IG2","3",0,29,1,2,"20x",3,31,32
64,"IG2","3",0,0,0,0,"20x",0,0,0
65,"IG2","3",0,6,3,0,"20x",3,6,9
66,"IG2","3",0,3,0,1,"20x",1,4,4
67,"IG2","3",3,1,0,0,"20x",0,1,4
68,"IG2","3",0,2,0,1,"20x",1,3,3
69,"IG2","3",1,7,1,1,"20x",2,8,10
70,"IG2","3",0,2,0,2,"20x",2,4,4
71,"IG2","3",4,4,1,0,"20x",1,4,9
72,"IG2","3",1,14,12,8,"20x",20,22,35
73,"IG2","3",0,5,1,1,"20x",2,6,7
74,"IG2","3",0,6,0,1,"20x",1,7,7
75,"IG2","3",0,5,0,0,"20x",0,5,5
76,"IG2","3",3,3,11,0,"20x",11,3,17
77,"IG2","3",0,0,0,0,"20x",0,0,0
78,"IG2","3",1,6,0,0,"20x",0,6,7
79,"IG2","3",6,8,0,0,"20x",0,8,14
80,"IG2","3",1,2,0,3,"20x",3,5,6
81,"IG2","3",3,16,1,1,"20x",2,17,21
82,"IG2","3",1,1,0,0,"20x",0,1,2
83,"IG2","3",7,3,7,0,"20x",7,3,17
84,"IG2","3",8,6,3,4,"20x",7,10,21
85,"IG2","3",11,5,0,0,"20x",0,5,16
86,"IG2","3",1,2,1,0,"20x",1,2,4
87,"IG2","3",4,0,0,0,"20x",0,0,4
88,"IG2","3",5,1,1,0,"20x",1,1,7
89,"IG2","3",4,0,0,2,"20x",2,2,6
90,"IG2","3",14,5,5,0,"20x",5,5,24
91,"IG2","3",0,12,0,4,"20x",4,16,16
92,"IG2","3",2,2,0,1,"20x",1,3,5
93,"IG2","3",2,7,0,0,"20x",0,7,9
94,"IG2","3",4,2,0,0,"20x",0,2,6
95,"IG2","3",2,3,0,0,"20x",0,3,5
96,"IG2","3",1,6,0,0,"20x",0,6,7
97,"IG2","3",0,6,0,2,"20x",2,8,8
98,"IG2","3",0,8,3,0,"20x",3,8,11
99,"IG2","3",4,3,14,4,"20x",18,7,25
100,"IG2","3",0,2,1,0,"20x",1,2,3
101,"IG2","3",0,0,0,2,"20x",2,2,2
102,"IG2","3",1,2,0,2,"20x",2,4,5
103,"IG2","3",2,10,0,0,"20x",0,10,12
104,"IG2","3",4,6,1,0,"20x",1,6,11
105,"IG2","3",3,6,0,0,"20x",0,6,9
106,"IG2","3",4,7,1,0,"20x",1,7,12
107,"IG2","3",1,5,0,0,"20x",0,5,6
108,"IG2","3",1,2,1,0,"20x",1,2,4
