"day","month","year","trialday","wash_status","insecticide_name","treatment","UA","UD","FA","FD","dead","fed","total"
"06","Nov","2020",5,"Control","untreated",0,0,0,0,0,0,0,0
"15","Aug","2020",30,"Control","untreated",0,0,0,0,0,0,0,0
"22","Jul","2020",9,"Control","untreated",0,0,0,0,0,0,0,0
"12","Nov","2020",10,"Control","untreated",0,0,0,0,0,0,0,0
"19","May","2021",27,"Control","untreated",0,0,0,0,0,0,0,0
"16","Jul","2021",29,"Control","untreated",0,0,0,0,0,0,0,0
"21","Jul","2020",8,"0","olysetplus",2,0,0,0,0,0,0,0
"12","Jun","2020",23,"Control","untreated",0,0,0,0,0,0,0,0
"24","Jul","2021",36,"0","interceptorG2",3,0,0,0,0,0,0,0
"26","Nov","2021",17,"Control","untreated",0,0,0,0,0,0,0,0
"05","May","2021",15,"Control","untreated",0,0,0,0,0,0,0,0
"09","Apr","2021",35,"0","interceptorG2",3,0,0,0,0,0,0,0
"23","Nov","2020",19,"Control","untreated",0,0,0,0,0,0,0,0
"18","Nov","2021",10,"Control","untreated",0,0,0,0,0,0,0,0
"19","Apr","2021",1,"0","olysetplus",2,0,0,0,0,0,0,0
"15","Dec","2021",33,"0","interceptorG2",3,0,0,0,0,0,0,0
"05","Apr","2021",31,"0","olysetplus",2,0,0,0,0,0,0,0
"19","Jun","2020",29,"0","interceptorG2",3,0,0,0,0,0,0,0
"25","Nov","2021",16,"Control","untreated",0,0,0,0,0,0,0,0
"30","Nov","2021",20,"0","interceptorG2",3,0,0,0,0,0,0,0
"03","Dec","2021",23,"Control","untreated",0,0,0,0,0,0,0,0
"13","Nov","2021",6,"Control","untreated",0,0,0,0,0,0,0,0
"14","Jan","2021",10,"0","interceptorG2",3,0,0,0,0,0,0,0
"16","Jul","2021",29,"0","olysetplus",2,0,0,0,0,0,0,0
"08","Dec","2020",32,"0","olysetplus",2,0,0,0,0,0,0,0
"14","Dec","2021",32,"Control","untreated",0,0,0,0,0,0,0,0
"15","Jun","2021",2,"Control","untreated",0,0,0,0,0,0,0,0
"06","Dec","2021",25,"0","interceptor",1,0,0,0,0,0,0,0
"04","Mar","2021",4,"Control","untreated",0,0,0,0,0,0,0,0
"22","Apr","2021",4,"Control","untreated",0,0,0,0,0,0,0,0
"14","Jul","2021",27,"Control","untreated",0,0,0,0,0,0,0,0
"06","Feb","2021",30,"0","interceptorG2",3,0,1,0,0,1,0,1
"10","May","2021",19,"0","interceptorG2",3,0,0,0,0,0,0,0
"01","Apr","2021",28,"Control","untreated",0,0,0,0,0,0,0,0
"03","Jul","2021",18,"0","interceptorG2",3,1,1,0,0,1,0,2
"26","Apr","2021",7,"Control","untreated",0,0,0,0,0,0,0,0
"28","Nov","2020",24,"Control","untreated",0,0,0,0,0,0,0,0
"13","Jul","2021",26,"Control","untreated",0,0,0,0,0,0,0,0
"12","May","2021",21,"Control","untreated",0,1,0,0,0,0,0,1
"19","Jul","2021",31,"Control","untreated",0,1,0,0,0,0,0,1
"04","Nov","2020",3,"Control","untreated",0,1,0,0,0,0,0,1
"29","Jul","2020",15,"0","interceptorG2",3,1,0,0,0,0,0,1
"11","Nov","2020",9,"Control","untreated",0,0,0,0,1,1,1,1
"18","Mar","2021",16,"Control","untreated",0,0,0,0,0,0,0,0
"10","Mar","2021",9,"Control","untreated",0,0,0,0,0,0,0,0
"02","Jul","2021",17,"0","interceptorG2",3,0,1,0,0,1,0,1
"03","Mar","2021",3,"Control","untreated",0,1,0,0,0,0,0,1
"23","Apr","2021",5,"Control","untreated",0,0,0,0,0,0,0,0
"24","Jun","2021",10,"Control","untreated",0,0,0,1,0,0,1,1
"21","Jan","2021",16,"Control","untreated",0,0,0,0,0,0,0,0
"21","Apr","2021",3,"Control","untreated",0,0,0,0,0,0,0,0
"10","Aug","2020",25,"0","olysetplus",2,0,0,0,0,0,0,0
